AUS,2016,1215297.461,50237.794429
AUS,2017,1251095.561,50853.615427
AUS,2018,1326164.114,53083.298192
AUS,2019,1346385.112,53078.965373
AUT,2016,460282.647,52665.087457
AUT,2017,476563.995,54185.337013
AUT,2018,504354.99,57068.534815
AUT,2019,520804.077,58664.718719
BEL,2016,550677.566,48599.202676
BEL,2017,573788.528,50442.947518
BEL,2018,601777.448,52662.767819
BEL,2019,628555.777,54709.354773
CAN,2016,1678093.396,46472.368771
CAN,2017,1765763.154,48316.716527
CAN,2018,1862154.108,50239.988278
CAN,2019,1904502.917,50660.587438
CZE,2016,381420.335,36101.285601
CZE,2017,411327.86,38842.896268
CZE,2018,437252.426,41147.631528
CZE,2019,462266.205,43326.662998
DNK,2016,297719.06,51967.020438
DNK,2017,319130.165,55356.49009
DNK,2018,332882.716,57453.005832
DNK,2019,348263.937,59870.025325
FIN,2016,246928.493,44934.488245
FIN,2017,262026.563,47570.270354
FIN,2018,274158.014,49700.52107
FIN,2019,284480.553,51521.398254
FRA,2016,2864105.631,42855.944562
FRA,2017,2983010.673,44445.59677
FRA,2018,3128336.847,46419.314271
FRA,2019,3336886.582,49344.708712
DEU,2016,4165169.905,50579.483717
DEU,2017,4386729.188,53071.478374
DEU,2018,4571615.756,55142.158063
DEU,2019,4676884.224,56284.936441
GRC,2016,296029.545,27471.218206
GRC,2017,308068.164,28644.977147
GRC,2018,318561.979,29680.902369
GRC,2019,330966.206,30869.249859
HUN,2016,273925.72,27911.664733
HUN,2017,288403.654,29465.126306
HUN,2018,311175.568,31831.981048
HUN,2019,331796.894,33956.821868
ISL,2016,17939.411,53486.615773
ISL,2017,19106.258,55638.491978
ISL,2018,20569.786,58320.911643
ISL,2019,21681.631,60126.541783
IRL,2016,339999.931,71594.095685
IRL,2017,373770.633,77832.00899
IRL,2018,412094.277,84781.721928
IRL,2019,441873.65,89680.969173
ITA,2016,2420672.141,39926.966169
ITA,2017,2517184.468,41581.131252
ITA,2018,2605604.586,43097.264517
ITA,2019,2678904.139,44397.556124
JPN,2016,5158900.414,40642.704531
JPN,2017,5262254.967,41531.221619
JPN,2018,5363113.046,42415.262579
JPN,2019,5416302.286,42938.81628
KOR,2016,2026967.822,39575.302078
KOR,2017,2103651.26,40957.347064
KOR,2018,2192613.181,42486.739807
KOR,2019,2209423.793,42728.031736
LUX,2016,64406.168,110260.934439
LUX,2017,66973.383,112187.731906
LUX,2018,70914.212,116480.803842
LUX,2019,74996.716,120670.500099
MEX,2016,2383253.082,19516.145022
MEX,2017,2460766.096,19947.197691
MEX,2018,2556350.973,20518.580821
MEX,2019,2608649.816,20739.308737
NLD,2016,890488.555,52289.404292
NLD,2017,943739.619,55089.58143
NLD,2018,997729.784,57899.824961
NLD,2019,1035058.851,59674.76803
NZL,2016,188355.645,39719.042939
NZL,2017,203544.585,42074.660571
NZL,2018,215287.748,43738.114648
NZL,2019,223650.279,44612.279404
NOR,2016,308522.085,58923.240139
NOR,2017,337993.785,64050.366694
NOR,2018,370296.235,69709.381608
NOR,2019,365502.326,68343.740792
POL,2016,1075392.661,27985.340009
POL,2017,1141694.015,29714.590984
POL,2018,1214376.603,31613.688164
POL,2019,1299683.796,33858.276341
PRT,2016,326364.379,31607.610185
PRT,2017,340370.325,33044.70015
PRT,2018,359232.261,34931.85988
PRT,2019,379273.761,36871.738281
SVK,2016,161074.014,29659.331169
